route,time_period,forecasted_demand,forecast_confidence,max_capacity,committed_capacity,load_factor,void_capacity,utilization_strategy,planning_comment,pricing_recommendation
DEL-FRA,2026-01-01,175.2177532863746,0.9958987521003996,2394,122.65242730046221,0.05123326119484637,2271.347572699538,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,2026-01-02,253.20688331256449,0.7923585760622143,2394,177.24481831879513,0.07403710038379079,2216.7551816812047,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,2026-01-03,1989.1912106813663,0.6878567759924412,2394,1392.4338474769563,0.5816348569243761,1001.5661525230437,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,2026-01-04,363.79555929206407,0.7475575471187152,2394,254.65689150444484,0.10637297055323511,2139.343108495555,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,2026-01-05,334.57812396955825,0.6580129215420221,2394,234.20468677869076,0.09782986080981235,2159.7953132213092,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,2026-01-06,406.50696129664783,0.5981482526989543,2394,284.5548729076535,0.1188616845896631,2109.4451270923464,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,2026-01-07,363.3407608751209,0.7536524506887847,2394,254.33853261258463,0.10623998855997688,2139.6614673874155,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,2026-01-08,288.35927145850764,0.7935966358592719,2394,201.85149002095534,0.08431557644985603,2192.148509979045,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,2026-01-09,282.45834512912387,0.7041370872989595,2394,197.7208415903867,0.08259015939448065,2196.2791584096135,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,2026-01-10,476.2122738704013,0.6088628204659162,2394,333.34859170928087,0.13924335493286585,2060.6514082907192,Conservative Loading,Volatile | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
DEL-FRA,2026-01-11,191.401409079554,0.8911549171957097,2394,133.9809863556878,0.055965324292267256,2260.019013644312,Conservative Loading,Stable | High Fixed Cost Exposure | High Delay Risk | Flexible → Conservative Loading,Discount / Spot Pricing
