customer_id,sku_id,route,time_period,base_demand,forecasted_demand,forecast_confidence
CUST1,SKU1,DEL-FRA,2026-01-01,181.4,175.2177532863746,0.9958987521003997
CUST1,SKU1,DEL-FRA,2026-01-02,186.9,253.20688331256446,0.7923585760622143
CUST1,SKU1,DEL-FRA,2026-01-03,229.3,1989.1912106813666,0.6878567759924412
CUST1,SKU1,DEL-FRA,2026-01-04,197.0,363.79555929206407,0.7475575471187152
CUST1,SKU1,DEL-FRA,2026-01-05,193.4,334.57812396955825,0.6580129215420221
CUST1,SKU1,DEL-FRA,2026-01-06,209.0,406.50696129664783,0.5981482526989543
CUST1,SKU1,DEL-FRA,2026-01-07,196.9,363.3407608751209,0.7536524506887847
CUST1,SKU1,DEL-FRA,2026-01-08,190.2,288.35927145850764,0.7935966358592719
CUST1,SKU1,DEL-FRA,2026-01-09,189.1,282.45834512912387,0.7041370872989595
CUST1,SKU1,DEL-FRA,2026-01-10,209.7,476.21227387040125,0.6088628204659162
CUST1,SKU1,DEL-FRA,2026-01-11,184.8,191.40140907955396,0.8911549171957097
CUST1,SKU1,DEL-FRA,2026-01-12,174.9,132.75506720594615,0.9380900038151987
CUST1,SKU1,DEL-FRA,2026-01-13,253.0,1290.0849021976073,0.8464506002133748
CUST1,SKU1,DEL-FRA,2026-01-14,199.0,367.7724545074006,0.4978439951518806
CUST1,SKU1,DEL-FRA,2026-01-15,260.2,1237.9770754092592,0.8988301501380889
CUST1,SKU1,DEL-FRA,2026-01-16,178.6,140.01384672896,0.9382610638215404
CUST1,SKU1,DEL-FRA,2026-01-17,194.4,291.28942800953774,0.6601187817017025
CUST1,SKU1,DEL-FRA,2026-01-18,258.7,2619.687708721355,0.654902445436045
CUST1,SKU1,DEL-FRA,2026-01-19,241.1,2250.8109008485862,0.9400580542974505
CUST1,SKU1,DEL-FRA,2026-01-20,174.7,126.76144959891724,0.9165380360772968
CUST1,SKU1,DEL-FRA,2026-01-21,179.1,185.19112302614417,0.9942910604117935
CUST1,SKU1,DEL-FRA,2026-01-22,188.0,292.71403453632666,0.7181096715624384
CUST1,SKU1,DEL-FRA,2026-01-23,185.1,217.98758898460034,0.8658383750544694
CUST1,SKU1,DEL-FRA,2026-01-24,207.8,476.4696468611524,0.46933207051152726
